No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
5144;103,917375;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3711 Ack=674 Win=546 Len=0;;;103,917375;104,09269;0,175315;0,11859;0,056725;-0,061865
5145;104,09269;31.13.68.60;192.168.1.9;TLSv1.2;191;Application Data;;;104,09269;104,149415;0,056725;-0,514257;0,570982;1,085239
5146;104,149415;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=674 Ack=3848 Win=2483 Len=0;;;104,149415;104,720397;0,570982;0,52605;0,044932;-0,481118
5147;104,720397;31.13.68.60;192.168.1.9;TLSv1.2;191;Application Data;;;104,720397;104,765329;0,044932;-0,625491;0,670423;1,295914
5148;104,765329;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=674 Ack=3985 Win=2482 Len=0;;;104,765329;105,435752;0,670423;0,629007;0,041416;-0,587591
5379;105,435752;31.13.68.60;192.168.1.9;TLSv1.2;1118;Application Data;;;105,435752;105,477168;0,041416;-5,240013;5,281429;10,521442
5380;105,477168;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=674 Ack=5049 Win=2484 Len=0;;;105,477168;110,758597;5,281429;5,280999;0,00043;-5,280569
5853;110,758597;31.13.68.60;192.168.1.9;TLSv1.2;287;Application Data;;;110,758597;110,759027;0,00043;0,00031;0,00012;-0,00019
5854;110,759027;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;110,759027;110,759147;0,00012;-0,000346;0,000466;0,000812
5855;110,759147;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;110,759147;110,759613;0,000466;0,00043;0,000036;-0,000394
5856;110,759613;31.13.68.60;192.168.1.9;TCP;287;[TCP Spurious Retransmission] 443  >  49703 [PSH, ACK] Seq=5049 Ack=674 Win=546 Len=233;;;110,759613;110,759649;0,000036;-0,019732;0,019768;0,0395
5857;110,759649;192.168.1.9;31.13.68.60;TCP;66;[TCP Dup ACK 5854#1] 49703  >  443 [ACK] Seq=744 Ack=5282 Win=2484 Len=0 SLE=5049 SRE=5282;;;110,759649;110,779417;0,019768;-6,657617;6,677385;13,335002
5858;110,779417;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=5282 Ack=744 Win=546 Len=0;;;110,779417;117,456802;6,677385;6,676957;0,000428;-6,676529
5859;117,456802;31.13.68.60;192.168.1.9;TLSv1.2;151;Application Data;;;117,456802;117,45723;0,000428;0,000309;0,000119;-0,00019
5860;117,45723;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;117,45723;117,457349;0,000119;-0,04429;0,044409;0,088699
5861;117,457349;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;117,457349;117,501758;0,044409;-1,858417;1,902826;3,761243
5862;117,501758;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=5379 Ack=814 Win=546 Len=0;;;117,501758;119,404584;1,902826;1,880456;0,02237;-1,858086
5873;119,404584;192.168.1.9;172.217.194.188;TCP;55;[TCP Keep-Alive] 49717  >  5228 [ACK] Seq=1 Ack=1 Win=511 Len=1;;;119,404584;119,426954;0,02237;-1,674137;1,696507;3,370644
5874;119,426954;172.217.194.188;192.168.1.9;TCP;66;[TCP Keep-Alive ACK] 5228  >  49717 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;119,426954;121,123461;1,696507;1,646253;0,050254;-1,595999
5875;121,123461;31.13.68.60;192.168.1.9;TLSv1.2;271;Application Data;;;121,123461;121,173715;0,050254;-9,211088;9,261342;18,47243
5876;121,173715;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=814 Ack=5596 Win=2482 Len=0;;;121,173715;130,435057;9,261342;9,260879;0,000463;-9,260416
5898;130,435057;31.13.68.60;192.168.1.9;TLSv1.2;189;Application Data;;;130,435057;130,43552;0,000463;0,000327;0,000136;-0,000191
5899;130,43552;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;130,43552;130,435656;0,000136;-0,0188;0,018936;0,037736
5900;130,435656;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;130,435656;130,454592;0,018936;-5,063809;5,082745;10,146554
5901;130,454592;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=5731 Ack=884 Win=546 Len=0;;;130,454592;135,537337;5,082745;5,08234;0,000405;-5,081935
5904;135,537337;31.13.68.60;192.168.1.9;TLSv1.2;271;Application Data;;;135,537337;135,537742;0,000405;0,000286;0,000119;-0,000167
5905;135,537742;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;135,537742;135,537861;0,000119;-0,011119;0,011238;0,022357
5906;135,537861;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;135,537861;135,549099;0,011238;-0,000561;0,011799;0,01236
5907;135,549099;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;135,549099;135,560898;0,011799;-0,019255;0,031054;0,050309
5908;135,560898;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=6126 Ack=954 Win=546 Len=0;;;135,560898;135,591952;0,031054;-0,157757;0,188811;0,346568
5909;135,591952;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=954 Ack=6126 Win=2480 Len=0;;;135,591952;135,780763;0,188811;0,124305;0,064506;-0,059799
5910;135,780763;192.168.1.9;31.13.68.60;TLSv1.2;166;Application Data;;;135,780763;135,845269;0,064506;-0,07255;0,137056;0,209606
5911;135,845269;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=6126 Ack=1066 Win=546 Len=0;;;135,845269;135,982325;0,137056;0,096419;0,040637;-0,055782
